,country,year,donations,receipts,net_donations,cumulative_donations,,,,
232,Brazil,1989,0,0,0,0,,,,
233,Brazil,1990,0,0,0,0,,,,
234,Brazil,1991,0,0,0,0,,,,
235,Brazil,1992,0,0,0,0,,,,
236,Brazil,1993,0,0,0,0,,,,
237,Brazil,1994,0,0,0,0,,,,
238,Brazil,1995,19,0,19,19,,,,
239,Brazil,1996,18,0,18,37,,,,
240,Brazil,1997,19,0,19,56,,,,
241,Brazil,1998,25,0,25,81,,,,
242,Brazil,1999,23,0,23,104,,,,
243,Brazil,2000,23,0,23,127,,,,
244,Brazil,2001,19,0,19,146,,,,
245,Brazil,2002,14,0,14,160,,,,
246,Brazil,2003,14,0,14,174,,,,
247,Brazil,2004,14,0,14,188,,,,
248,Brazil,2005,38,0,38,226,,,,
249,Brazil,2006,27,0,27,253,,,,
250,Brazil,2007,27,0,27,280,,,,
251,Brazil,2008,27,0,27,307,,,,
252,Brazil,2009,29,0,29,336,,,,
253,Brazil,2010,29,0,29,365,,,,
254,Brazil,2011,29,0,29,394,,,,
255,Brazil,2012,29,0,29,423,,,,
256,Brazil,2013,34,0,34,457,,,,
257,Brazil,2014,394,0,394,851,,,,
258,Brazil,2015,399,0,399,1250,,,,
259,Brazil,2016,399,0,399,1649,,,,
260,Bulgaria,1980,0,0,0,0,,,,
261,Bulgaria,1981,0,0,0,0,,,,
262,Bulgaria,1982,0,0,0,0,,,,
263,Bulgaria,1983,0,0,0,0,,,,
264,Bulgaria,1984,0,0,0,0,,,,
265,Bulgaria,1985,0,0,0,0,,,,
266,Bulgaria,1986,0,0,0,0,,,,
267,Bulgaria,1987,0,0,0,0,,,,
268,Bulgaria,1988,0,0,0,0,,,,
269,Bulgaria,1989,0,0,0,0,,,,
270,Bulgaria,1990,0,0,0,0,,,,
271,Bulgaria,1991,0,0,0,0,,,,
272,Bulgaria,1992,0,0,0,0,,,,
273,Bulgaria,1993,1,0,1,1,,,,
274,Bulgaria,1994,1,0,1,2,,,,
275,Bulgaria,1995,9,0,9,11,,,,
276,Bulgaria,1996,13,0,13,24,,,,
277,Bulgaria,1997,0,0,0,24,,,,
278,Bulgaria,1998,4,0,4,28,,,,
279,Bulgaria,1999,4,0,4,32,,,,
280,Bulgaria,2000,8,0,8,40,,,,
281,Bulgaria,2001,25,0,25,65,,,,
282,Bulgaria,2002,22,0,22,87,,,,
